,year,SUBURB,suburb,n,price_mean
1,2018,ABBOTSFORD,Abbotsford,45,812020
2,2018,ABERFELDIE,Aberfeldie,15,1416400
3,2018,AINTREE,Aintree,6,638833.3333
4,2018,AIRPORT WEST,Airport West,45,736695.5556
5,2018,ALBANVALE,Albanvale,16,535218.75
6,2018,ALBERT PARK,Albert Park,21,2049714.286
7,2018,ALBION,Albion,30,520716.6667
8,2018,ALPHINGTON,Alphington,21,1344871.429
9,2018,ALTONA,Altona,57,861541.7895
10,2018,ALTONA MEADOWS,Altona Meadows,51,637735.2941
11,2018,ALTONA NORTH,Altona North,45,796655.5556
12,2018,ARDEER,Ardeer,17,620029.4118
13,2018,ARMADALE,Armadale,47,1386796.809
14,2018,ARTHURS SEAT,Arthurs Seat,4,1027750
15,2018,ASCOT VALE,Ascot Vale,54,1142359.037
16,2018,ASHBURTON,Ashburton,33,1484239.03
17,2018,ASHWOOD,Ashwood,23,990525.5652
18,2018,ASPENDALE,Aspendale,30,1102054.267
19,2018,ASPENDALE GARDENS,Aspendale Gardens,15,839533.3333
20,2018,ATTWOOD,Attwood,4,1032500
21,2018,AVONDALE HEIGHTS,Avondale Heights,37,866136.1622
22,2018,AVONSLEIGH,Avonsleigh,5,868605.8
23,2018,BADGER CREEK,Badger Creek,2,622500
24,2018,BALACLAVA,Balaclava,26,775407.6538
25,2018,BALNARRING,Balnarring,9,880833.3333
26,2018,BALNARRING BEACH,Balnarring Beach,2,1292500
27,2018,BALWYN,Balwyn,70,1860874.114
28,2018,BALWYN NORTH,Balwyn North,87,1737565.069
29,2018,BANGHOLME,Bangholme,1,2460000
30,2018,BAXTER,Baxter,7,524081.5714
31,2018,BAYLES,Bayles,2,1192500
32,2018,BAYSWATER,Bayswater,64,681341.1094
33,2018,BAYSWATER NORTH,Bayswater North,40,682612.5
34,2018,BEACONSFIELD,Beaconsfield,40,745262.5
35,2018,BEACONSFIELD UPPER,Beaconsfield Upper,6,973000
36,2018,BEAUMARIS,Beaumaris,60,1531333.333
37,2018,BELGRAVE,Belgrave,20,723499.95
38,2018,BELGRAVE HEIGHTS,Belgrave Heights,5,796400
39,2018,BELGRAVE SOUTH,Belgrave South,2,1146000
40,2018,BELLFIELD,Bellfield,2,715000
41,2018,BEND OF ISLANDS,Bend Of Islands,1,1015000
42,2018,BENTLEIGH,Bentleigh,85,1118473.529
43,2018,BENTLEIGH EAST,Bentleigh East,142,1055109.507
44,2018,BERWICK,Berwick,187,732189.8824
45,2018,BIG PATS CREEK,Big Pats Creek,1,522000
46,2018,BITTERN,Bittern,16,622187.5
47,2018,BLACK ROCK,Black Rock,24,1603479.375
48,2018,BLACKBURN,Blackburn,61,1038506.787
49,2018,BLACKBURN NORTH,Blackburn North,35,980751.4286
50,2018,BLACKBURN SOUTH,Blackburn South,39,1009735.282
51,2018,BLAIRGOWRIE,Blairgowrie,26,1176769.231
52,2018,BLIND BIGHT,Blind Bight,8,548687.5
53,2018,BONBEACH,Bonbeach,37,715325.1351
54,2018,BORONIA,Boronia,122,628579.5574
55,2018,BOTANIC RIDGE,Botanic Ridge,30,741966.6667
56,2018,BOX HILL,Box Hill,56,710347.8036
57,2018,BOX HILL NORTH,Box Hill North,48,950643.5
58,2018,BOX HILL SOUTH,Box Hill South,33,1022742.061
59,2018,BRAYBROOK,Braybrook,26,664030.7692
60,2018,BRIAR HILL,Briar Hill,10,739350
61,2018,BRIGHTON,Brighton,123,2125186.984
62,2018,BRIGHTON EAST,Brighton East,52,1645605.769
63,2018,BROADMEADOWS,Broadmeadows,45,526178.0667
64,2018,BROOKFIELD,Brookfield,40,507887.5
65,2018,BROOKLYN,Brooklyn,16,609125
66,2018,BRUNSWICK,Brunswick,140,841225.7143
67,2018,BRUNSWICK EAST,Brunswick East,70,747042.8571
68,2018,BRUNSWICK WEST,Brunswick West,68,790672.0588
69,2018,BULLA,Bulla,4,1454625
70,2018,BULLEEN,Bulleen,32,1055167.906
71,2018,BUNDOORA,Bundoora,97,671834.1649
72,2018,BUNYIP,Bunyip,6,654500
73,2018,BURNSIDE,Burnside,9,579666.6667
74,2018,BURNSIDE HEIGHTS,Burnside Heights,18,664083.3333
75,2018,BURWOOD,Burwood,48,1184709.792
76,2018,BURWOOD EAST,Burwood East,27,953873.2222
77,2018,CAIRNLEA,Cairnlea,17,793764.7059
78,2018,CAMBERWELL,Camberwell,68,2005882.368
79,2018,CAMPBELLFIELD,Campbellfield,4,559625
80,2018,CANNONS CREEK,Cannons Creek,2,570000
81,2018,CANTERBURY,Canterbury,29,2190724.138
82,2018,CAPE SCHANCK,Cape Schanck,3,1801666.667
83,2018,CAPEL SOUND,Capel Sound,39,546328.2051
84,2018,CARLTON,Carlton,71,617690.1408
85,2018,CARLTON NORTH,Carlton North,28,1339517.857
86,2018,CARNEGIE,Carnegie,91,699640.1099
87,2018,CAROLINE SPRINGS,Caroline Springs,103,631038.835
88,2018,CARRUM,Carrum,28,911339.2857
89,2018,CARRUM DOWNS,Carrum Downs,113,527830.0885
90,2018,CAULFIELD,Caulfield,24,1302875
91,2018,CAULFIELD EAST,Caulfield East,4,1050000
92,2018,CAULFIELD NORTH,Caulfield North,63,1245547.619
93,2018,CAULFIELD SOUTH,Caulfield South,47,1277785.106
94,2018,CHADSTONE,Chadstone,38,849844.7368
95,2018,CHELSEA,Chelsea,52,761254.8077
96,2018,CHELSEA HEIGHTS,Chelsea Heights,31,723370.9677
97,2018,CHELTENHAM,Cheltenham,114,804068.0877
98,2018,CHIRNSIDE PARK,Chirnside Park,52,722810.5962
99,2018,CHRISTMAS HILLS,Christmas Hills,1,853000
100,2018,CHUM CREEK,Chum Creek,4,576250
101,2018,CLARINDA,Clarinda,18,758977.7778
102,2018,CLAYTON,Clayton,47,938688.6809
103,2018,CLAYTON SOUTH,Clayton South,41,708161
104,2018,CLEMATIS,Clematis,2,680000
105,2018,CLIFTON HILL,Clifton Hill,28,1066605.357
106,2018,CLYDE,Clyde,20,593826.9
107,2018,CLYDE NORTH,Clyde North,84,595789.2857
108,2018,COBBLEBANK,Cobblebank,3,441666.6667
109,2018,COBURG,Coburg,116,822494.9741
110,2018,COBURG NORTH,Coburg North,41,756070.7317
111,2018,COCKATOO,Cockatoo,21,585261.9048
112,2018,COLDSTREAM,Coldstream,8,639812.5
113,2018,COLLINGWOOD,Collingwood,51,768335.0588
114,2018,COOLAROO,Coolaroo,7,468000
115,2018,COTTLES BRIDGE,Cottles Bridge,2,1160000
116,2018,CRAIGIEBURN,Craigieburn,249,546494.3775
117,2018,CRANBOURNE,Cranbourne,81,508186.2469
118,2018,CRANBOURNE EAST,Cranbourne East,77,556966.2338
119,2018,CRANBOURNE NORTH,Cranbourne North,123,589460.0488
120,2018,CRANBOURNE SOUTH,Cranbourne South,2,1405000
121,2018,CRANBOURNE WEST,Cranbourne West,85,540223.2588
122,2018,CRIB POINT,Crib Point,26,519615.3846
123,2018,CROYDON,Croydon,146,694959.6575
124,2018,CROYDON HILLS,Croydon Hills,17,873705.8824
125,2018,CROYDON NORTH,Croydon North,37,734682.5946
126,2018,CROYDON SOUTH,Croydon South,24,743583.3333
127,2018,DALLAS,Dallas,28,474035.7143
128,2018,DANDENONG,Dandenong,84,445813.619
129,2018,DANDENONG NORTH,Dandenong North,59,639535.7966
130,2018,DEEPDENE,Deepdene,5,1999000
131,2018,DEER PARK,Deer Park,70,582558.5571
132,2018,DELAHEY,Delahey,30,520150
133,2018,DERRIMUT,Derrimut,25,635960
134,2018,DEVON MEADOWS,Devon Meadows,2,792000
135,2018,DIAMOND CREEK,Diamond Creek,52,840558.6538
136,2018,DIGGERS REST,Diggers Rest,11,511230.9091
137,2018,DINGLEY VILLAGE,Dingley Village,41,814246.3415
138,2018,DOCKLANDS,Docklands,92,826039.1413
139,2018,DON VALLEY,Don Valley,1,835000
140,2018,DONCASTER,Doncaster,113,934897.8407
141,2018,DONCASTER EAST,Doncaster East,101,1038090.772
142,2018,DONNYBROOK,Donnybrook,12,569949.8333
143,2018,DONVALE,Donvale,57,1168673.684
144,2018,DOREEN,Doreen,110,632315.8
145,2018,DOVETON,Doveton,27,489222.2593
146,2018,DROMANA,Dromana,35,700142.8286
147,2018,EAGLEMONT,Eaglemont,12,1707729.167
148,2018,EAST MELBOURNE,East Melbourne,19,2026289.474
149,2018,EAST WARBURTON,East Warburton,13,437500
150,2018,EDEN PARK,Eden Park,2,1085000
151,2018,EDITHVALE,Edithvale,34,946620.5882
152,2018,ELSTERNWICK,Elsternwick,76,1325961.539
153,2018,ELTHAM,Eltham,64,912831.8906
154,2018,ELTHAM NORTH,Eltham North,21,919580.9524
155,2018,ELWOOD,Elwood,111,969451.3423
156,2018,EMERALD,Emerald,32,735375
157,2018,ENDEAVOUR HILLS,Endeavour Hills,66,640281.0606
158,2018,EPPING,Epping,141,540370.2128
159,2018,ESSENDON,Essendon,108,1090271.296
160,2018,ESSENDON NORTH,Essendon North,14,519392.8571
161,2018,ESSENDON WEST,Essendon West,7,1051571.429
162,2018,EUMEMMERRING,Eumemmerring,7,467785.7143
163,2018,EYNESBURY,Eynesbury,14,549571.4286
164,2018,FAIRFIELD,Fairfield,39,1008641.026
165,2018,FAWKNER,Fawkner,39,635102.5641
166,2018,FERNTREE GULLY,Ferntree Gully,114,694339.0351
167,2018,FERNY CREEK,Ferny Creek,6,819666.6667
168,2018,FINGAL,Fingal,14,1189642.857
169,2018,FITZROY,Fitzroy,44,1449738.636
170,2018,FITZROY NORTH,Fitzroy North,50,1217179.98
171,2018,FLEMINGTON,Flemington,28,699982.1429
172,2018,FLINDERS,Flinders,12,2449170.833
173,2018,FOOTSCRAY,Footscray,82,608458.3171
174,2018,FOREST HILL,Forest Hill,45,938026.6444
175,2018,FRANKSTON,Frankston,227,545768.2291
176,2018,FRANKSTON NORTH,Frankston North,27,458222.2222
177,2018,FRANKSTON SOUTH,Frankston South,73,855827.1644
178,2018,FRASER RISE,Fraser Rise,11,610000
179,2018,GARDENVALE,Gardenvale,3,1786666.667
180,2018,GARFIELD,Garfield,8,554250
181,2018,GEMBROOK,Gembrook,17,745411.7647
182,2018,GILDEROY,Gilderoy,1,750000
183,2018,GLADSTONE PARK,Gladstone Park,26,622307.6923
184,2018,GLADYSDALE,Gladysdale,1,702000
185,2018,GLEN HUNTLY,Glen Huntly,30,741525
186,2018,GLEN IRIS,Glen Iris,112,1350593.643
187,2018,GLEN WAVERLEY,Glen Waverley,153,1259556.641
188,2018,GLENROY,Glenroy,98,610363.0816
189,2018,GOWANBRAE,Gowanbrae,15,812833.3333
190,2018,GREENSBOROUGH,Greensborough,99,772474.7475
191,2018,GREENVALE,Greenvale,75,805971.6
192,2018,GUYS HILL,Guys Hill,2,793500
193,2018,HADFIELD,Hadfield,33,665148.1212
194,2018,HALLAM,Hallam,27,521425.9259
195,2018,HAMPTON,Hampton,71,1751776.592
196,2018,HAMPTON EAST,Hampton East,26,1116673.077
197,2018,HAMPTON PARK,Hampton Park,82,506452.2927
198,2018,HARKAWAY,Harkaway,1,960000
199,2018,HARKNESS,Harkness,56,454875
200,2018,HASTINGS,Hastings,57,504990.6842
201,2018,HAWTHORN,Hawthorn,125,991557.6
202,2018,HAWTHORN EAST,Hawthorn East,49,1202622.469
203,2018,HEALESVILLE,Healesville,34,595955.8824
204,2018,HEATHERTON,Heatherton,6,727333.3333
205,2018,HEATHMONT,Heathmont,43,927965.1163
206,2018,HEIDELBERG,Heidelberg,23,831000
207,2018,HEIDELBERG HEIGHTS,Heidelberg Heights,46,713717.3913
208,2018,HEIDELBERG WEST,Heidelberg West,25,667860
209,2018,HIGHETT,Highett,66,941089.3182
210,2018,HILLSIDE,Hillside,64,691986.7188
211,2018,HOPPERS CROSSING,Hoppers Crossing,146,555066.8973
212,2018,HUGHESDALE,Hughesdale,29,809368.9655
213,2018,HUMEVALE,Humevale,1,955000
214,2018,HUNTINGDALE,Huntingdale,7,820084
215,2018,HURSTBRIDGE,Hurstbridge,10,766250
216,2018,IVANHOE,Ivanhoe,40,945394.4
217,2018,IVANHOE EAST,Ivanhoe East,20,1736275
218,2018,JACANA,Jacana,12,519750
219,2018,JUNCTION VILLAGE,Junction Village,2,472250
220,2018,KALKALLO,Kalkallo,15,556233.3333
221,2018,KALLISTA,Kallista,11,841895.0909
222,2018,KALORAMA,Kalorama,7,786428.5714
223,2018,KANGAROO GROUND,Kangaroo Ground,4,1806250
224,2018,KEALBA,Kealba,12,597958.3333
225,2018,KEILOR,Keilor,11,748300
226,2018,KEILOR DOWNS,Keilor Downs,28,622982.1429
227,2018,KEILOR EAST,Keilor East,59,804576.2712
228,2018,KEILOR PARK,Keilor Park,5,795000
229,2018,KENSINGTON,Kensington,68,826491
230,2018,KEW,Kew,92,1721106.522
231,2018,KEW EAST,Kew East,30,1627010
232,2018,KEYSBOROUGH,Keysborough,108,801391.5463
233,2018,KILSYTH,Kilsyth,68,625075.6765
234,2018,KILSYTH SOUTH,Kilsyth South,7,924714.2857
235,2018,KINGS PARK,Kings Park,21,538680.9524
236,2018,KINGSBURY,Kingsbury,9,764055.5556
237,2018,KINGSVILLE,Kingsville,21,777219.0476
238,2018,KNOXFIELD,Knoxfield,34,741750
239,2018,KOO WEE RUP,Koo Wee Rup,15,559586.6667
240,2018,KOOYONG,Kooyong,2,3877500
241,2018,KURUNJANG,Kurunjang,42,457619.0476
242,2018,LALOR,Lalor,71,603483.0986
243,2018,LANG LANG,Lang Lang,6,501566.6667
244,2018,LANGWARRIN,Langwarrin,127,641013.7559
245,2018,LANGWARRIN SOUTH,Langwarrin South,2,1230000
246,2018,LAUNCHING PLACE,Launching Place,10,607400
247,2018,LAVERTON,Laverton,34,522014.7353
248,2018,LILYDALE,Lilydale,75,661777.7867
249,2018,LITTLE RIVER,Little River,4,1039375
250,2018,LOWER PLENTY,Lower Plenty,25,891340
251,2018,LYNBROOK,Lynbrook,25,638840
252,2018,LYNDHURST,Lyndhurst,26,680798.0769
253,2018,LYSTERFIELD,Lysterfield,21,1032857.143
254,2018,LYSTERFIELD SOUTH,Lysterfield South,3,1320000
255,2018,MACCLESFIELD,Macclesfield,3,1103333.333
256,2018,MACLEOD,Macleod,40,857261.25
257,2018,MAIDSTONE,Maidstone,41,624629.2683
258,2018,MAIN RIDGE,Main Ridge,6,2076666.667
259,2018,MALVERN,Malvern,57,1921814.895
260,2018,MALVERN EAST,Malvern East,72,1323856.125
261,2018,MANOR LAKES,Manor Lakes,34,546280.8529
262,2018,MARIBYRNONG,Maribyrnong,64,741792.7813
263,2018,MCCRAE,Mccrae,20,819625
264,2018,MCKINNON,Mckinnon,20,1121725
265,2018,MEADOW HEIGHTS,Meadow Heights,22,499881.8182
266,2018,MELBOURNE,Melbourne,219,521504.4064
267,2018,MELTON,Melton,59,413715.4746
268,2018,MELTON SOUTH,Melton South,67,419842.6716
269,2018,MELTON WEST,Melton West,46,433467.3913
270,2018,MENTONE,Mentone,64,863878.8438
271,2018,MENZIES CREEK,Menzies Creek,4,951250
272,2018,MERNDA,Mernda,111,578290.1982
273,2018,MERRICKS NORTH,Merricks North,2,2535000
274,2018,MICKLEHAM,Mickleham,49,619752.5918
275,2018,MIDDLE PARK,Middle Park,20,2193375
276,2018,MILL PARK,Mill Park,111,630126.1261
277,2018,MILLGROVE,Millgrove,11,440909.0909
278,2018,MITCHAM,Mitcham,71,860582.1972
279,2018,MONBULK,Monbulk,15,682200
280,2018,MONT ALBERT,Mont Albert,12,1213333.333
281,2018,MONT ALBERT NORTH,Mont Albert North,26,1131156.769
282,2018,MONTMORENCY,Montmorency,38,831736.8421
283,2018,MONTROSE,Montrose,24,775478.2917
284,2018,MOONEE PONDS,Moonee Ponds,61,1158601.639
285,2018,MOORABBIN,Moorabbin,37,844101.3514
286,2018,MOOROODUC,Moorooduc,2,1412500
287,2018,MOOROOLBARK,Mooroolbark,87,718284.1264
288,2018,MORDIALLOC,Mordialloc,52,838342.5192
289,2018,MORNINGTON,Mornington,131,833050.3817
290,2018,MOUNT BURNETT,Mount Burnett,2,785000
291,2018,MOUNT DANDENONG,Mount Dandenong,5,680000
292,2018,MOUNT ELIZA,Mount Eliza,90,1360414.444
293,2018,MOUNT EVELYN,Mount Evelyn,37,717843.3243
294,2018,MOUNT MARTHA,Mount Martha,99,1077782.707
295,2018,MOUNT WAVERLEY,Mount Waverley,135,1176695.37
296,2018,MULGRAVE,Mulgrave,73,818897.274
297,2018,MURRUMBEENA,Murrumbeena,47,897098.6809
298,2018,NAR NAR GOON,Nar Nar Goon,3,610666.6667
299,2018,NAR NAR GOON NORTH,Nar Nar Goon North,1,925000
300,2018,NARRE WARREN,Narre Warren,106,584562.6415
301,2018,NARRE WARREN EAST,Narre Warren East,2,1915000
302,2018,NARRE WARREN NORTH,Narre Warren North,9,1225888.889
303,2018,NARRE WARREN SOUTH,Narre Warren South,94,662756.734
304,2018,NEWPORT,Newport,64,1006046.094
305,2018,NIDDRIE,Niddrie,28,910964.2857
306,2018,NOBLE PARK,Noble Park,99,537650.5051
307,2018,NOBLE PARK NORTH,Noble Park North,23,603521.7391
308,2018,NORTH MELBOURNE,North Melbourne,63,698468.254
309,2018,NORTH WARRANDYTE,North Warrandyte,9,1100611.111
310,2018,NORTHCOTE,Northcote,119,1117110.403
311,2018,NOTTING HILL,Notting Hill,12,597750
312,2018,NUNAWADING,Nunawading,34,864334.9412
313,2018,OAK PARK,Oak Park,31,736602.7742
314,2018,OAKLANDS JUNCTION,Oaklands Junction,1,1250000
315,2018,OAKLEIGH,Oakleigh,21,845521.4286
316,2018,OAKLEIGH EAST,Oakleigh East,31,876125.4194
317,2018,OAKLEIGH SOUTH,Oakleigh South,28,810004.8929
318,2018,OFFICER,Officer,86,617471.2442
319,2018,OLINDA,Olinda,8,998250
320,2018,ORMOND,Ormond,36,941930.2222
321,2018,PAKENHAM,Pakenham,321,515590.6854
322,2018,PAKENHAM UPPER,Pakenham Upper,2,1267500
323,2018,PANTON HILL,Panton Hill,2,900500
324,2018,PARK ORCHARDS,Park Orchards,3,2308333.333
325,2018,PARKDALE,Parkdale,61,947150
326,2018,PARKVILLE,Parkville,17,1447264.706
327,2018,PASCOE VALE,Pascoe Vale,81,720954.8148
328,2018,PASCOE VALE SOUTH,Pascoe Vale South,37,892229.7568
329,2018,PATTERSON LAKES,Patterson Lakes,30,1035879.6
330,2018,PEARCEDALE,Pearcedale,10,745300
331,2018,PLENTY,Plenty,9,1578061.111
332,2018,PLUMPTON,Plumpton,18,536769.4444
333,2018,POINT COOK,Point Cook,174,641190.8391
334,2018,PORT MELBOURNE,Port Melbourne,96,1168314.063
335,2018,PORTSEA,Portsea,12,2469043.75
336,2018,POWELLTOWN,Powelltown,3,472166.6667
337,2018,PRAHRAN,Prahran,81,923385.1728
338,2018,PRESTON,Preston,143,770270.2797
339,2018,RED HILL,Red Hill,7,2405714.286
340,2018,REEFTON,Reefton,1,361000
341,2018,RESEARCH,Research,17,1071947.059
342,2018,RESERVOIR,Reservoir,217,678279.5853
343,2018,RICHMOND,Richmond,174,983543.092
344,2018,RINGWOOD,Ringwood,87,766383.046
345,2018,RINGWOOD EAST,Ringwood East,62,759955.6452
346,2018,RINGWOOD NORTH,Ringwood North,41,957841.4634
347,2018,RIPPONLEA,Ripponlea,9,754777.7778
348,2018,ROCKBANK,Rockbank,9,599444.5556
349,2018,ROSANNA,Rosanna,46,878204.3478
350,2018,ROSEBUD,Rosebud,101,623956.2574
351,2018,ROWVILLE,Rowville,101,804199.495
352,2018,ROXBURGH PARK,Roxburgh Park,78,550496.1538
353,2018,RYE,Rye,88,760751.1364
354,2018,SAFETY BEACH,Safety Beach,50,837998.3
355,2018,SANDHURST,Sandhurst,11,864445.4545
356,2018,SANDRINGHAM,Sandringham,55,1288783.309
357,2018,SASSAFRAS,Sassafras,6,771916.6667
358,2018,SCORESBY,Scoresby,16,769218.75
359,2018,SEABROOK,Seabrook,11,592595.9091
360,2018,SEAFORD,Seaford,84,624674.381
361,2018,SEAHOLME,Seaholme,8,934375
362,2018,SEDDON,Seddon,25,975180
363,2018,SELBY,Selby,11,840363.6364
364,2018,SEVILLE,Seville,9,839055.5556
365,2018,SEVILLE EAST,Seville East,7,578571.4286
366,2018,SHERBROOKE,Sherbrooke,2,872500
367,2018,SHOREHAM,Shoreham,4,2473125
368,2018,SILVAN,Silvan,1,1251000
369,2018,SKYE,Skye,31,647404.0645
370,2018,SMITHS GULLY,Smiths Gully,1,750000
371,2018,SOMERS,Somers,6,1400000
372,2018,SOMERVILLE,Somerville,45,624666.6667
373,2018,SORRENTO,Sorrento,21,1424023.81
374,2018,SOUTH KINGSVILLE,South Kingsville,11,809090.9091
375,2018,SOUTH MELBOURNE,South Melbourne,54,934872.2222
376,2018,SOUTH MORANG,South Morang,92,621673.913
377,2018,SOUTH YARRA,South Yarra,147,846788.483
378,2018,SOUTHBANK,Southbank,126,595450.7063
379,2018,SPOTSWOOD,Spotswood,12,1084666.667
380,2018,SPRINGVALE,Springvale,42,719962.9524
381,2018,SPRINGVALE SOUTH,Springvale South,28,646741.3571
382,2018,ST ALBANS,St Albans,95,567300
383,2018,ST ANDREWS,St Andrews,3,1076666.667
384,2018,ST ANDREWS BEACH,St Andrews Beach,4,1099250
385,2018,ST HELENA,St Helena,9,871500
386,2018,ST KILDA,St Kilda,153,731882.3529
387,2018,ST KILDA EAST,St Kilda East,95,769011.6842
388,2018,ST KILDA WEST,St Kilda West,16,1132687.5
389,2018,STEELS CREEK,Steels Creek,1,865000
